V2_Gene	baseMean	DESeq_log2FC	lfcSE	pvalue	adj_pvalue	IHW_pvalue	LBS6R1.1	LBS6R1.2	LBS6R1.3	LBS6R1.4	LBS4.4	LBS4.5	LBS4.6	LBS4.7	LBS6R1_Mean	LBS4_Mean	log2FC
H2scaf34-aug7746	1273.116276	2.284825783	0.169715992	2.59e-41	2.42e-39	2.27e-41	417.318738	574.838341	321.4686989	317.6923402	2447.659436	2130.818315	1842.322152	2132.812185	407.8295295	2138.403022	2.390495637
H2scaf48-aug11556	188.5892302	2.287933359	0.170909298	7.22e-41	5.14e-39	4.89e-41	60.48097652	72.47530034	56.08176679	51.45721003	377.0437088	328.8521117	310.7309817	251.5917858	60.12381342	317.054647	2.398723101
H2scaf45-aug14460	852.0859661	2.508268511	0.189988303	8.52e-40	8.11e-38	7.94e-40	175.3948319	261.1096437	340.4964412	155.4902651	1364.439941	1428.311352	1615.249511	1476.195743	233.1227955	1471.049137	2.657683449
H2scaf2-aug5754	209.3844464	2.240247229	0.17638568	5.85e-37	3.58e-35	3.96e-37	54.43287887	92.331547	73.10658886	53.69448003	387.4592809	357.5258653	288.6672433	367.8576869	68.39137369	350.3775191	2.357023939
H2scaf11-aug6907	44.91891465	4.470407906	0.358477866	1.08e-35	6.96e-34	8.06e-36	0	0	1.001460121	1.118635001	97.90637743	113.7989596	59.75595801	85.76992699	0.53002378	89.30780552	7.396585372
H2scaf84-aug24035	96.66476333	2.792214147	0.224518187	1.66e-35	1.57e-33	1.85e-35	22.17635806	24.82030833	26.03796315	10.06771501	199.9789837	183.6912341	138.8176871	167.7278572	20.77558614	172.5539405	3.054086335
H2scaf1-aug9728	38.76944308	4.321542305	0.349328292	3.75e-35	2.19e-33	2.61e-35	1.008016275	0	1.001460121	1.118635001	84.36613374	68.99621962	71.70714962	81.95793024	0.782027849	76.7568583	6.616931867
H2scaf6-aug3463	233.6431852	2.232863823	0.180120009	2.73e-35	2.23e-33	2.66e-35	66.52907417	65.525614	84.12265019	90.60943505	481.1994295	440.8589618	315.3275938	324.9727234	76.69669335	390.5896771	2.348417536
H2scaf12-aug808	74.66791604	3.084417681	0.250183663	6.35e-35	3.37e-33	4.07e-35	11.08817903	20.849059	13.01898158	4.474540003	149.9842378	117.3831788	146.1722665	134.3728856	12.3576899	136.9781422	3.470464717
H2scaf7-aug1834	91.41306419	2.49042326	0.201853168	5.67e-35	5.25e-33	6.37e-35	14.11222785	27.79874533	30.04380364	27.96587502	154.1504666	169.3543573	154.4461684	153.4328694	24.98016296	157.8459654	2.659662592
H2scaf12-aug1285	69.90174725	3.404746241	0.277811014	1.57e-34	7.91e-33	9.67e-35	9.072146478	11.913748	6.008760728	6.711810004	177.0647251	126.3437268	128.7051403	93.3939205	8.426616302	131.3768782	3.962614144
H2scaf16-aug1717	86.97023387	3.20877414	0.26523657	1.09e-33	5.21e-32	6.7e-34	18.14429296	11.913748	13.01898158	7.830445004	223.9347994	131.7200556	170.0746497	119.1248986	12.72686688	161.2136009	3.663024259
H2scaf71-aug15841	70.47547243	2.41444094	0.208041433	3.86e-31	1.69e-29	2.38e-31	16.1282604	23.827496	21.03066255	19.01679501	123.9453076	116.487124	120.4312385	122.9368954	20.00080349	120.9501414	2.596282592
H2scaf108-aug20362	101.9783296	3.392775391	0.291444093	2.54e-31	1.69e-29	2.4e-31	14.11222785	17.870622	12.01752146	3.355905002	273.9295454	174.7306861	114.9153039	204.8948256	11.83906908	192.1175902	4.020362068
